MSOA11CD,MSOA name,population,Area Sq Km,People per Sq Km
E02000001,City of London 001,"8,072",2.9,"2,786"
E02000002,Barking and Dagenham 001,"7,235",2.16,"3,347"
E02000003,Barking and Dagenham 002,"10,732",2.14,"5,011"
E02000004,Barking and Dagenham 003,"6,419",2.49,"2,575"
E02000005,Barking and Dagenham 004,"9,056",1.19,"7,622"
E02000007,Barking and Dagenham 006,"9,398",1.74,"5,414"
E02000008,Barking and Dagenham 007,"12,108",1.42,"8,527"
E02000009,Barking and Dagenham 008,"9,689",0.96,"10,086"
E02000010,Barking and Dagenham 009,"9,182",1.12,"8,189"
E02000011,Barking and Dagenham 010,"6,572",1.59,"4,123"
E02000012,Barking and Dagenham 011,"10,661",1.3,"8,199"
E02000013,Barking and Dagenham 012,"8,685",1.3,"6,657"
E02000014,Barking and Dagenham 013,"9,659",1.19,"8,098"
E02000015,Barking and Dagenham 014,"7,708",1.36,"5,660"
E02000016,Barking and Dagenham 015,"8,470",0.89,"9,558"
E02000017,Barking and Dagenham 016,"8,894",0.88,"10,147"
E02000018,Barking and Dagenham 017,"9,229",1.36,"6,797"
E02000019,Barking and Dagenham 018,"8,980",3.04,"2,956"
E02000020,Barking and Dagenham 019,"11,016",3.42,"3,222"
E02000021,Barking and Dagenham 020,"8,628",2.88,"2,995"
E02000022,Barking and Dagenham 021,"8,555",0.75,"11,423"
E02000023,Barking and Dagenham 022,"6,644",1.75,"3,807"
E02006799,Barking and Dagenham 023,"10,774",1.16,"9,258"
E02000024,Barnet 001,"10,813",3.75,"2,881"
E02000025,Barnet 002,"8,326",2.4,"3,466"
E02000026,Barnet 003,"6,586",1.47,"4,493"
E02000027,Barnet 004,"9,938",1.67,"5,935"
E02000028,Barnet 005,"6,544",1.06,"6,199"
E02000029,Barnet 006,"8,908",1.68,"5,288"
E02000030,Barnet 007,"9,404",14.58,645
E02000031,Barnet 008,"7,486",1.94,"3,861"
E02000032,Barnet 009,"8,043",1.4,"5,754"
E02000033,Barnet 010,"8,859",1.78,"4,988"
E02000034,Barnet 011,"8,854",1.56,"5,682"
E02000035,Barnet 012,"8,426",1.3,"6,494"
E02000036,Barnet 013,"11,347",1.79,"6,323"
E02000037,Barnet 014,"9,563",4.32,"2,211"
E02000038,Barnet 015,"11,090",1.76,"6,292"
E02000039,Barnet 016,"6,941",2.13,"3,256"
E02000040,Barnet 017,"7,309",5.16,"1,418"
E02000041,Barnet 018,"9,471",1.35,"7,020"
E02000042,Barnet 019,"11,438",1.21,"9,433"
