MSOA11CD,MSOA11NM,working_pop,MSOA11NM_work,resident_num
E02000166,{place of work}Camden 001,1887,Camden 001,2821
E02000167,{place of work}Camden 002,2404,Camden 002,2956
E02000168,{place of work}Camden 003,3746,Camden 003,3264
E02000169,{place of work}Camden 004,1041,Camden 004,2510
E02000170,{place of work}Camden 005,1131,Camden 005,3803
E02000171,{place of work}Camden 006,1207,Camden 006,3112
E02000172,{place of work}Camden 007,3472,Camden 007,3237
E02000173,{place of work}Camden 008,8776,Camden 008,3249
E02000174,{place of work}Camden 009,1893,Camden 009,3523
E02000175,{place of work}Camden 010,2595,Camden 010,4300
E02000176,{place of work}Camden 011,1092,Camden 011,2942
E02000177,{place of work}Camden 012,1490,Camden 012,3202
E02000178,{place of work}Camden 013,1222,Camden 013,3844
E02000179,{place of work}Camden 014,740,Camden 014,2265
E02000180,{place of work}Camden 015,1278,Camden 015,3010
E02000181,{place of work}Camden 016,426,Camden 016,3787
E02000182,{place of work}Camden 017,2457,Camden 017,2308
E02000183,{place of work}Camden 018,5155,Camden 018,3022
E02000184,{place of work}Camden 019,7107,Camden 019,2991
E02000185,{place of work}Camden 020,1682,Camden 020,2894
E02000186,{place of work}Camden 021,18210,Camden 021,2688
E02000187,{place of work}Camden 022,5674,Camden 022,2321
E02000188,{place of work}Camden 023,4949,Camden 023,2342
E02000189,{place of work}Camden 024,4039,Camden 024,1659
E02000190,{place of work}Camden 025,7667,Camden 025,2078
E02000191,{place of work}Camden 026,31916,Camden 026,2315
E02000192,{place of work}Camden 027,22936,Camden 027,2704
E02000193,{place of work}Camden 028,52759,Camden 028,3075
E02000001,{place of work}City of London 001,244302,City of London 001,3657
E02000345,{place of work}Hackney 001,2403,Hackney 001,2293
E02000346,{place of work}Hackney 002,718,Hackney 002,1763
E02000347,{place of work}Hackney 003,1204,Hackney 003,2260
E02000348,{place of work}Hackney 004,807,Hackney 004,2135
E02000350,{place of work}Hackney 006,985,Hackney 006,3815
E02000351,{place of work}Hackney 007,471,Hackney 007,4140
E02000352,{place of work}Hackney 008,599,Hackney 008,2529
E02000353,{place of work}Hackney 009,1613,Hackney 009,3491
E02000354,{place of work}Hackney 010,1191,Hackney 010,3309
E02000355,{place of work}Hackney 011,856,Hackney 011,3182
E02000356,{place of work}Hackney 012,869,Hackney 012,3318
E02000357,{place of work}Hackney 013,488,Hackney 013,1618
E02000358,{place of work}Hackney 014,1731,Hackney 014,4527
E02000359,{place of work}Hackney 015,452,Hackney 015,2344
E02000360,{place of work}Hackney 016,1075,Hackney 016,3964
E02000361,{place of work}Hackney 017,5002,Hackney 017,3192
E02000362,{place of work}Hackney 018,1726,Hackney 018,2174
E02000363,{place of work}Hackney 019,3726,Hackney 019,3127
E02000364,{place of work}Hackney 020,1676,Hackney 020,3727
E02000365,{place of work}Hackney 021,3187,Hackney 021,5756
E02000366,{place of work}Hackney 022,649,Hackney 022,2933
E02000367,{place of work}Hackney 023,3241,Hackney 023,4215
E02000368,{place of work}Hackney 024,652,Hackney 024,3332
E02000369,{place of work}Hackney 025,2850,Hackney 025,4490
E02000370,{place of work}Hackney 026,2720,Hackney 026,3158
E02000371,{place of work}Hackney 027,25739,Hackney 027,5484
E02006918,{place of work}Hackney 028,616,Hackney 028,2274
E02006921,{place of work}Hackney 029,495,Hackney 029,2059
E02000372,{place of work}Hammersmith and Fulham 001,13760,Hammersmith and Fulham 001,3253
E02000373,{place of work}Hammersmith and Fulham 002,705,Hammersmith and Fulham 002,1957
E02000374,{place of work}Hammersmith and Fulham 003,288,Hammersmith and Fulham 003,2570
E02000375,{place of work}Hammersmith and Fulham 004,11531,Hammersmith and Fulham 004,2928
E02000376,{place of work}Hammersmith and Fulham 005,2286,Hammersmith and Fulham 005,3173
E02000377,{place of work}Hammersmith and Fulham 006,1010,Hammersmith and Fulham 006,3414
E02000378,{place of work}Hammersmith and Fulham 007,2134,Hammersmith and Fulham 007,3099
E02000379,{place of work}Hammersmith and Fulham 008,651,Hammersmith and Fulham 008,3026
E02000380,{place of work}Hammersmith and Fulham 009,1132,Hammersmith and Fulham 009,2494
E02000381,{place of work}Hammersmith and Fulham 010,2925,Hammersmith and Fulham 010,3409
E02000382,{place of work}Hammersmith and Fulham 011,2799,Hammersmith and Fulham 011,2466
E02000383,{place of work}Hammersmith and Fulham 012,5339,Hammersmith and Fulham 012,4082
E02000384,{place of work}Hammersmith and Fulham 013,16885,Hammersmith and Fulham 013,2907
E02000385,{place of work}Hammersmith and Fulham 014,905,Hammersmith and Fulham 014,3367
E02000386,{place of work}Hammersmith and Fulham 015,2756,Hammersmith and Fulham 015,3196
E02000387,{place of work}Hammersmith and Fulham 016,4105,Hammersmith and Fulham 016,2699
E02000388,{place of work}Hammersmith and Fulham 017,2444,Hammersmith and Fulham 017,3864
E02000389,{place of work}Hammersmith and Fulham 018,2430,Hammersmith and Fulham 018,3530
E02000390,{place of work}Hammersmith and Fulham 019,1243,Hammersmith and Fulham 019,2886
E02000391,{place of work}Hammersmith and Fulham 020,3191,Hammersmith and Fulham 020,3197
E02000392,{place of work}Hammersmith and Fulham 021,3200,Hammersmith and Fulham 021,4357
E02000393,{place of work}Hammersmith and Fulham 022,523,Hammersmith and Fulham 022,2976
E02000394,{place of work}Hammersmith and Fulham 023,3372,Hammersmith and Fulham 023,3156
E02000395,{place of work}Hammersmith and Fulham 024,2840,Hammersmith and Fulham 024,2609
E02000396,{place of work}Hammersmith and Fulham 025,2080,Hammersmith and Fulham 025,2672
E02000397,{place of work}Haringey 001,676,Haringey 001,2874
E02000398,{place of work}Haringey 002,2109,Haringey 002,1771
E02000400,{place of work}Haringey 004,1202,Haringey 004,2699
E02000401,{place of work}Haringey 005,503,Haringey 005,1781
E02000402,{place of work}Haringey 006,549,Haringey 006,1794
E02000403,{place of work}Haringey 007,4145,Haringey 007,2763
E02000404,{place of work}Haringey 008,713,Haringey 008,2328
E02000405,{place of work}Haringey 009,696,Haringey 009,2527
E02000406,{place of work}Haringey 010,329,Haringey 010,2417
E02000407,{place of work}Haringey 011,1133,Haringey 011,2027
E02000408,{place of work}Haringey 012,1184,Haringey 012,2015
E02000409,{place of work}Haringey 013,940,Haringey 013,1944
E02000410,{place of work}Haringey 014,1007,Haringey 014,2745
E02000411,{place of work}Haringey 015,2201,Haringey 015,2246
E02000412,{place of work}Haringey 016,4618,Haringey 016,2380
E02000413,{place of work}Haringey 017,732,Haringey 017,2671
E02000414,{place of work}Haringey 018,429,Haringey 018,2404
E02000415,{place of work}Haringey 019,914,Haringey 019,2557
E02000416,{place of work}Haringey 020,1101,Haringey 020,2975
E02000417,{place of work}Haringey 021,1700,Haringey 021,2790
E02000418,{place of work}Haringey 022,551,Haringey 022,2205
E02000419,{place of work}Haringey 023,1349,Haringey 023,3344
E02000420,{place of work}Haringey 024,714,Haringey 024,2412
E02000421,{place of work}Haringey 025,2709,Haringey 025,2226
E02000422,{place of work}Haringey 026,770,Haringey 026,2440
E02000423,{place of work}Haringey 027,1812,Haringey 027,2761
E02000424,{place of work}Haringey 028,899,Haringey 028,3070
E02000425,{place of work}Haringey 029,657,Haringey 029,1878
E02000426,{place of work}Haringey 030,1590,Haringey 030,2613
E02000427,{place of work}Haringey 031,792,Haringey 031,3063
E02000428,{place of work}Haringey 032,1305,Haringey 032,2206
E02000429,{place of work}Haringey 033,653,Haringey 033,2989
E02000430,{place of work}Haringey 034,1859,Haringey 034,3508
E02000431,{place of work}Haringey 035,806,Haringey 035,3236
E02000432,{place of work}Haringey 036,429,Haringey 036,3017
E02006794,{place of work}Haringey 037,2197,Haringey 037,1851
E02000554,{place of work}Islington 001,884,Islington 001,3327
E02000555,{place of work}Islington 002,1247,Islington 002,3666
E02000556,{place of work}Islington 003,1672,Islington 003,4264
E02000557,{place of work}Islington 004,4908,Islington 004,3280
E02000558,{place of work}Islington 005,1550,Islington 005,2720
E02000559,{place of work}Islington 006,7727,Islington 006,4250
E02000560,{place of work}Islington 007,2889,Islington 007,3218
E02000561,{place of work}Islington 008,723,Islington 008,3208
E02000562,{place of work}Islington 009,1108,Islington 009,3235
E02000563,{place of work}Islington 010,1502,Islington 010,3147
E02000564,{place of work}Islington 011,2829,Islington 011,5138
E02000565,{place of work}Islington 012,923,Islington 012,3070
E02000566,{place of work}Islington 013,3545,Islington 013,3889
E02000567,{place of work}Islington 014,951,Islington 014,4705
E02000568,{place of work}Islington 015,4611,Islington 015,3122
E02000569,{place of work}Islington 016,2827,Islington 016,4203
E02000570,{place of work}Islington 017,1326,Islington 017,4122
E02000571,{place of work}Islington 018,1564,Islington 018,3229
E02000572,{place of work}Islington 019,2054,Islington 019,2626
E02000573,{place of work}Islington 020,8591,Islington 020,4181
E02000574,{place of work}Islington 021,10095,Islington 021,3446
E02000575,{place of work}Islington 022,29205,Islington 022,4855
E02000576,{place of work}Islington 023,26156,Islington 023,3388
E02000577,{place of work}Kensington and Chelsea 001,3668,Kensington and Chelsea 001,2169
E02000578,{place of work}Kensington and Chelsea 002,2187,Kensington and Chelsea 002,1732
E02000579,{place of work}Kensington and Chelsea 003,1694,Kensington and Chelsea 003,3199
E02000580,{place of work}Kensington and Chelsea 004,2604,Kensington and Chelsea 004,3503
E02000581,{place of work}Kensington and Chelsea 005,2573,Kensington and Chelsea 005,2226
E02000582,{place of work}Kensington and Chelsea 006,2856,Kensington and Chelsea 006,3277
E02000583,{place of work}Kensington and Chelsea 007,1861,Kensington and Chelsea 007,2759
E02000584,{place of work}Kensington and Chelsea 008,6116,Kensington and Chelsea 008,3197
E02000585,{place of work}Kensington and Chelsea 009,1860,Kensington and Chelsea 009,2956
E02000586,{place of work}Kensington and Chelsea 010,7555,Kensington and Chelsea 010,2861
E02000587,{place of work}Kensington and Chelsea 011,3052,Kensington and Chelsea 011,2660
E02000588,{place of work}Kensington and Chelsea 012,15311,Kensington and Chelsea 012,3144
E02000589,{place of work}Kensington and Chelsea 013,3142,Kensington and Chelsea 013,3246
E02000590,{place of work}Kensington and Chelsea 014,4784,Kensington and Chelsea 014,2564
E02000591,{place of work}Kensington and Chelsea 015,1333,Kensington and Chelsea 015,2710
E02000592,{place of work}Kensington and Chelsea 016,6316,Kensington and Chelsea 016,2866
E02000593,{place of work}Kensington and Chelsea 017,1175,Kensington and Chelsea 017,3296
E02000594,{place of work}Kensington and Chelsea 018,3994,Kensington and Chelsea 018,2701
E02000595,{place of work}Kensington and Chelsea 019,6530,Kensington and Chelsea 019,2767
E02000596,{place of work}Kensington and Chelsea 020,4963,Kensington and Chelsea 020,3146
E02000597,{place of work}Kensington and Chelsea 021,2195,Kensington and Chelsea 021,2379
E02000619,{place of work}Lambeth 002,1952,Lambeth 002,3098
E02000620,{place of work}Lambeth 003,6052,Lambeth 003,4219
E02000621,{place of work}Lambeth 004,5488,Lambeth 004,4945
E02000622,{place of work}Lambeth 005,2134,Lambeth 005,3854
E02000623,{place of work}Lambeth 006,527,Lambeth 006,3059
E02000624,{place of work}Lambeth 007,671,Lambeth 007,3357
E02000625,{place of work}Lambeth 008,1598,Lambeth 008,3178
E02000626,{place of work}Lambeth 009,841,Lambeth 009,2697
E02000627,{place of work}Lambeth 010,1376,Lambeth 010,4499
E02000628,{place of work}Lambeth 011,3893,Lambeth 011,3475
E02000629,{place of work}Lambeth 012,1675,Lambeth 012,4738
E02000630,{place of work}Lambeth 013,2440,Lambeth 013,3770
E02000631,{place of work}Lambeth 014,8724,Lambeth 014,3915
E02000632,{place of work}Lambeth 015,1169,Lambeth 015,5746
E02000633,{place of work}Lambeth 016,3187,Lambeth 016,3657
E02000634,{place of work}Lambeth 017,2061,Lambeth 017,3258
E02000635,{place of work}Lambeth 018,1156,Lambeth 018,4105
E02000636,{place of work}Lambeth 019,1521,Lambeth 019,3951
E02000637,{place of work}Lambeth 020,853,Lambeth 020,4375
E02000638,{place of work}Lambeth 021,1614,Lambeth 021,4237
E02000639,{place of work}Lambeth 022,320,Lambeth 022,2997
E02000640,{place of work}Lambeth 023,940,Lambeth 023,4527
E02000641,{place of work}Lambeth 024,629,Lambeth 024,3020
E02000642,{place of work}Lambeth 025,949,Lambeth 025,3921
E02000643,{place of work}Lambeth 026,906,Lambeth 026,3623
E02000644,{place of work}Lambeth 027,718,Lambeth 027,3512
E02000645,{place of work}Lambeth 028,2409,Lambeth 028,3770
E02000646,{place of work}Lambeth 029,1972,Lambeth 029,4118
E02000647,{place of work}Lambeth 030,601,Lambeth 030,3274
E02000648,{place of work}Lambeth 031,779,Lambeth 031,2463
E02000649,{place of work}Lambeth 032,2000,Lambeth 032,4811
E02000650,{place of work}Lambeth 033,708,Lambeth 033,2829
E02000651,{place of work}Lambeth 034,717,Lambeth 034,3308
E02000652,{place of work}Lambeth 035,371,Lambeth 035,2479
E02006801,{place of work}Lambeth 036,28200,Lambeth 036,3416
E02000653,{place of work}Lewisham 001,691,Lewisham 001,3398
E02000654,{place of work}Lewisham 002,1438,Lewisham 002,2556
E02000655,{place of work}Lewisham 003,1648,Lewisham 003,3218
E02000657,{place of work}Lewisham 005,2334,Lewisham 005,3728
E02000658,{place of work}Lewisham 006,886,Lewisham 006,3284
E02000659,{place of work}Lewisham 007,1997,Lewisham 007,3044
E02000660,{place of work}Lewisham 008,1113,Lewisham 008,3809
E02000661,{place of work}Lewisham 009,1889,Lewisham 009,2890
E02000662,{place of work}Lewisham 010,1028,Lewisham 010,3210
E02000663,{place of work}Lewisham 011,432,Lewisham 011,2947
E02000664,{place of work}Lewisham 012,7222,Lewisham 012,3931
E02000665,{place of work}Lewisham 013,941,Lewisham 013,3433
E02000666,{place of work}Lewisham 014,566,Lewisham 014,2837
E02000667,{place of work}Lewisham 015,538,Lewisham 015,2652
E02000668,{place of work}Lewisham 016,1017,Lewisham 016,2695
E02000669,{place of work}Lewisham 017,1073,Lewisham 017,3198
E02000670,{place of work}Lewisham 018,738,Lewisham 018,2355
E02000671,{place of work}Lewisham 019,1955,Lewisham 019,3513
E02000672,{place of work}Lewisham 020,5036,Lewisham 020,2935
E02000673,{place of work}Lewisham 021,1174,Lewisham 021,3374
E02000674,{place of work}Lewisham 022,512,Lewisham 022,3084
E02000675,{place of work}Lewisham 023,717,Lewisham 023,3263
E02000676,{place of work}Lewisham 024,416,Lewisham 024,3228
E02000677,{place of work}Lewisham 025,1431,Lewisham 025,2668
E02000678,{place of work}Lewisham 026,295,Lewisham 026,2030
E02000679,{place of work}Lewisham 027,854,Lewisham 027,3044
E02000680,{place of work}Lewisham 028,869,Lewisham 028,2439
E02000681,{place of work}Lewisham 029,1232,Lewisham 029,2839
E02000682,{place of work}Lewisham 030,857,Lewisham 030,2530
E02000683,{place of work}Lewisham 031,445,Lewisham 031,2038
E02000685,{place of work}Lewisham 033,741,Lewisham 033,2795
E02000686,{place of work}Lewisham 034,1098,Lewisham 034,2113
E02000687,{place of work}Lewisham 035,1037,Lewisham 035,2901
E02006783,{place of work}Lewisham 037,843,Lewisham 037,2265
E02006784,{place of work}Lewisham 038,635,Lewisham 038,2363
E02006798,{place of work}Lewisham 039,2232,Lewisham 039,2790
E02000714,{place of work}Newham 001,640,Newham 001,2719
E02000715,{place of work}Newham 002,621,Newham 002,1875
E02000716,{place of work}Newham 003,526,Newham 003,2104
E02000717,{place of work}Newham 004,1048,Newham 004,2240
E02000718,{place of work}Newham 005,490,Newham 005,1690
E02000719,{place of work}Newham 006,764,Newham 006,2689
E02000720,{place of work}Newham 007,635,Newham 007,2354
E02000721,{place of work}Newham 008,1957,Newham 008,2698
E02000722,{place of work}Newham 009,1135,Newham 009,3058
E02000723,{place of work}Newham 010,1493,Newham 010,3136
E02000724,{place of work}Newham 011,405,Newham 011,2537
E02000725,{place of work}Newham 012,6597,Newham 012,3662
